sample_id,grav_soil_water_content,site,treatment,position,replicate,date_coll,regions,year
159,0.166392415,ST4,CV,A,3,20191031,ST,2019
160,0.166970194,ST4,SH,A,1,20191031,ST,2019
161,0.165192842,ST4,SH,A,2,20191031,ST,2019
162,0.166389969,ST4,SH,A,3,20191031,ST,2019
163,0.250817485,ST4,UD,A,1,20191031,ST,2019
164,0.254824417,ST4,UD,A,2,20191031,ST,2019
165,0.25552962,ST4,UD,A,3,20191031,ST,2019
166,0.178098606,ST4,CV,B,1,20191031,ST,2019
167,0.206880548,ST4,CV,B,2,20191031,ST,2019
168,0.177475659,ST4,CV,B,3,20191031,ST,2019
169,0.154369507,ST4,SH,B,1,20191031,ST,2019
170,0.164955115,ST4,SH,B,2,20191031,ST,2019
171,0.181852011,ST4,SH,B,3,20191031,ST,2019
172,0.25166723,MW1,SH,A,1,20191114,MW,2019
173,0.246206732,MW1,SH,A,2,20191114,MW,2019
174,0.238352084,MW1,SH,A,3,20191114,MW,2019
175,0.259028673,MW1,CV,A,1,20191114,MW,2019
176,0.260462484,MW1,CV,A,2,20191114,MW,2019
177,0.215370576,MW1,CV,A,3,20191114,MW,2019
178,0.380715747,MW1,UD,A,1,20191114,MW,2019
179,0.41706547,MW1,UD,A,2,20191114,MW,2019
180,0.390120452,MW1,UD,A,3,20191114,MW,2019
181,0.290630597,MW1,SH,B,1,20191114,MW,2019
182,0.340404682,MW1,SH,B,2,20191114,MW,2019
183,0.301981526,MW1,SH,B,3,20191114,MW,2019
184,0.362831034,MW1,CV,B,1,20191114,MW,2019
185,0.294587538,MW1,CV,B,2,20191114,MW,2019
186,0.34039991,MW1,CV,B,3,20191114,MW,2019
187,0.495797155,MW1,UD,B,1,20191114,MW,2019
188,0.549850299,MW1,UD,B,2,20191114,MW,2019
189,0.643160549,MW1,UD,B,3,20191114,MW,2019
190,0.23924389,MW2,SH,A,1,20191120,MW,2019
191,0.251432747,MW2,SH,A,2,20191120,MW,2019
192,0.231839483,MW2,SH,A,3,20191120,MW,2019
193,0.264701396,MW2,CV,A,1,20191120,MW,2019
194,0.271590895,MW2,CV,A,2,20191120,MW,2019
195,0.265453125,MW2,CV,A,3,20191120,MW,2019
196,0.394184191,MW2,UD,A,1,20191120,MW,2019
197,0.406927745,MW2,UD,A,2,20191120,MW,2019
198,0.437409541,MW2,UD,A,3,20191120,MW,2019
199,0.358461538,MW2,SH,B,1,20191120,MW,2019
200,0.400542752,MW2,SH,B,2,20191120,MW,2019
201,0.333699028,MW2,SH,B,3,20191120,MW,2019
202,0.385957851,MW2,CV,B,1,20191120,MW,2019
203,0.392185803,MW2,CV,B,2,20191120,MW,2019
204,0.402694105,MW2,CV,B,3,20191120,MW,2019
205,0.564853891,MW2,UD,B,1,20191120,MW,2019
206,0.58757323,MW2,UD,B,2,20191120,MW,2019
207,0.552209645,MW2,UD,B,3,20191120,MW,2019
208,0.303995441,MW3,SH,A,1,20191120,MW,2019
209,0.286204479,MW3,SH,A,2,20191120,MW,2019
210,0.269122255,MW3,SH,A,3,20191120,MW,2019
211,0.232361183,MW3,CV,A,1,20191120,MW,2019
212,0.225745213,MW3,CV,A,2,20191120,MW,2019
213,0.272678965,MW3,CV,A,3,20191120,MW,2019
214,0.353840408,MW3,UD,A,1,20191120,MW,2019
215,0.357560088,MW3,UD,A,2,20191120,MW,2019
216,0.344316332,MW3,UD,A,3,20191120,MW,2019
217,0.346889889,MW3,SH,B,1,20191120,MW,2019
218,0.361930694,MW3,SH,B,2,20191120,MW,2019
219,0.47228328,MW3,SH,B,3,20191120,MW,2019
220,0.379291646,MW3,CV,B,1,20191120,MW,2019
221,0.389197498,MW3,CV,B,2,20191120,MW,2019
222,0.367752884,MW3,CV,B,3,20191120,MW,2019
223,0.388876557,MW3,UD,B,1,20191120,MW,2019
224,0.464013357,MW3,UD,B,2,20191120,MW,2019
225,0.443533487,MW3,UD,B,3,20191120,MW,2019
226,0.282971756,MW4,SH,A,1,20191114,MW,2019
227,0.26501232,MW4,SH,A,2,20191114,MW,2019
228,0.274858142,MW4,SH,A,3,20191114,MW,2019
229,0.254565134,MW4,CV,A,1,20191114,MW,2019
230,0.251311917,MW4,CV,A,2,20191114,MW,2019
231,0.256010421,MW4,CV,A,3,20191114,MW,2019
232,0.51003967,MW4,UD,A,1,20191114,MW,2019
233,0.50463312,MW4,UD,A,2,20191114,MW,2019
234,0.539454288,MW4,UD,A,3,20191114,MW,2019
235,0.426505991,MW4,SH,B,1,20191114,MW,2019
236,0.344183696,MW4,SH,B,2,20191114,MW,2019
237,0.329699345,MW4,SH,B,3,20191114,MW,2019
238,0.30350788,MW4,CV,B,1,20191114,MW,2019
239,0.34819211,MW4,CV,B,2,20191114,MW,2019
240,0.326692958,MW4,CV,B,3,20191114,MW,2019
241,0.558847633,MW4,UD,B,1,20191114,MW,2019
242,0.544056623,MW4,UD,B,2,20191114,MW,2019
243,0.637928274,MW4,UD,B,3,20191114,MW,2019
244,0.32396088,RR3,CV,A,1,20200920,RR,2020
245,0.293820933,RR3,CV,A,2,20200920,RR,2020
246,0.273869347,RR3,CV,A,3,20200920,RR,2020
247,0.29736211,RR3,CV,B,1,20200920,RR,2020
248,0.290085679,RR3,CV,B,2,20200920,RR,2020
249,0.290862291,RR3,CV,B,3,20200920,RR,2020
250,0.236126224,RR3,SH,B,1,20200921,RR,2020
