sample_id,type,mass
448,b,10
448,c,9.98
449,b,10
449,c,9.97
450,b,9.99
450,c,10.02
451,b,10.03
451,c,10.04
452,b,10.02
452,c,9.98
453,b,10
453,c,10.05
454,b,9.96
454,c,9.96
455,b,9.95
455,c,10.03
456,b,9.96
456,c,10.04
457,b,9.99
457,c,10.03
458,b,10.02
458,c,10
459,b,10.01
459,c,10.01
460,b,9.96
460,c,10.05
461,b,10.01
461,c,10.02
462,b,10.02
462,c,10.05
463,b,10.01
463,c,9.96
464,b,10.02
464,c,10.01
465,b,10.02
465,c,9.98
466,b,9.99
466,c,9.96
467,b,10.04
467,c,10.04
468,b,10.05
468,c,10.01
469,b,9.97
469,c,9.99
470,b,10
470,c,10.01
471,b,10.04
471,c,10.02
472,b,10
472,c,10
473,b,10.04
473,c,10.05
474,b,9.98
474,c,10
475,b,9.99
475,c,10.02
476,b,10.02
476,c,10.04
477,b,10.01
477,c,9.98
478,b,10.03
478,c,10.02
479,b,10.05
479,c,9.96
480,b,9.98
480,c,10.03
481,b,9.98
481,c,10.02
482,b,9.99
482,c,9.98
483,b,10
483,c,10.04
484,b,9.97
484,c,9.97
485,b,10.04
485,c,9.97
486,b,10.05
486,c,10
487,b,10.03
487,c,10
488,b,10.03
488,c,10
A_ALF_S_015_before,b,10
A_ALF_S_015_before,c,10.03
B_ALF_S_015_after,b,10
B_ALF_S_015_after,c,9.97
C_ALF_S_1530_before1,b,10.03
C_ALF_S_1530_before1,c,9.99
D_ALF_S_1530_before2,b,10.06
D_ALF_S_1530_before2,c,10.02
E_ALF_S_1530_after,b,10.02
E_ALF_S_1530_after,c,9.97
F_ALF_N_015_after_1week,b,10
F_ALF_N_015_after_1week,c,10
G_ALF_N_015_after_1week,b,10.05
G_ALF_N_015_after_1week,c,9.97
H_KER_S_015_before,b,10.06
H_KER_S_015_before,c,9.99
I_KER_S_015_after,b,10
I_KER_S_015_after,c,9.99
J_KER_S_1530_after,b,10.03
J_KER_S_1530_after,c,9.98
K_KER_N_015_before1,b,10.05
K_KER_N_015_before1,c,10.03
L_KER_N_1530_before,b,10.06
L_KER_N_1530_before,c,10.05
M_KER_N_015_before2_plot4_trt1,b,9.97
M_KER_N_015_before2_plot4_trt1,c,9.98
N_KER_N_1530_after,b,9.98
N_KER_N_1530_after,c,10.03
