[Header]	
System	NPOC-TN	
S/W Version	1.00	
User	Grossman	
Date/Time	5/2/2021 11:43:54 AM	

[System]	
Instrument Options	TOC/ASI/TN/	

[Data]	
Type	Sample Name	Sample ID	Cal. Curve	Date / Time	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Vial	Excluded	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 7:43:40 PM	3	TN	34.79	34.57	4.000	 	 	1	0	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 7:50:55 PM	1	TN	53.99	54.02	6.000	 	 	1	0	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 7:54:19 PM	2	TN	54.05	54.02	6.000	 	 	1	0	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 8:01:53 PM	1	TN	74.00	73.18	8.000	 	 	1	0	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 8:05:08 PM	2	TN	72.36	73.18	8.000	 	 	1	0	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 8:12:50 PM	1	TN	93.17	90.66	10.00	 	 	1	1	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 8:16:02 PM	2	TN	90.22	90.66	10.00	 	 	1	0	
Standard	AUTO 0-10 TN	TN Std 1		4/9/2021 8:19:21 PM	3	TN	91.09	90.66	10.00	 	 	1	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 8:26:04 PM	1	NPOC	0.1307	0.1732	0.05831	0.07727	NPOC:0.07727mg/L TN:0.00972mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 8:28:09 PM	2	NPOC	0.2157	0.1732	0.09623	0.07727	NPOC:0.07727mg/L TN:0.00972mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 8:26:04 PM	1	TN	0.1098	0.08910	0.01197	0.00972	NPOC:0.07727mg/L TN:0.00972mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 8:28:09 PM	2	TN	0.06840	0.08910	0.00746	0.00972	NPOC:0.07727mg/L TN:0.00972mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 8:34:57 PM	1	NPOC	0.2778	0.2277	0.1239	0.1016	NPOC:0.1016mg/L TN:0.05128mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 8:37:03 PM	2	NPOC	0.1775	0.2277	0.07918	0.1016	NPOC:0.1016mg/L TN:0.05128mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 8:34:57 PM	1	TN	0.5166	0.4703	0.05633	0.05128	NPOC:0.1016mg/L TN:0.05128mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 8:37:03 PM	2	TN	0.000	0.4703	0.000	0.05128	NPOC:0.1016mg/L TN:0.05128mg/L	0	1	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 8:42:29 PM	3	TN	0.4239	0.4703	0.04622	0.05128	NPOC:0.1016mg/L TN:0.05128mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 8:49:37 PM	1	NPOC	0.1810	0.2355	0.08075	0.1051	NPOC:0.1051mg/L TN:0.03024mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 8:51:42 PM	2	NPOC	0.2900	0.2355	0.1294	0.1051	NPOC:0.1051mg/L TN:0.03024mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 8:49:37 PM	1	TN	0.3497	0.2773	0.03813	0.03024	NPOC:0.1051mg/L TN:0.03024mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 8:51:42 PM	2	TN	0.2050	0.2773	0.02235	0.03024	NPOC:0.1051mg/L TN:0.03024mg/L	0	0	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 8:57:18 PM	3	TN	0.05830	0.2773	0.00636	0.03024	NPOC:0.1051mg/L TN:0.03024mg/L	0	1	
